iter	Passed	Remaining
0	19	19323
1	37	18924
2	57	18958
3	75	18813
4	94	18722
5	112	18563
6	130	18517
7	150	18685
8	171	18880
9	191	18938
10	210	18950
11	228	18840
12	249	18931
13	268	18889
14	286	18788
15	305	18799
16	326	18899
17	348	19023
18	367	18992
19	388	19017
20	406	18942
21	425	18914
22	443	18844
23	461	18762
24	479	18715
25	497	18651
26	516	18598
27	534	18544
28	553	18541
29	572	18501
30	590	18465
31	608	18404
32	626	18357
33	645	18340
34	663	18298
35	683	18299
36	704	18344
37	724	18332
38	742	18307
39	763	18316
40	784	18350
41	842	19227
42	865	19260
43	885	19239
44	904	19187
45	921	19117
46	938	19036
47	957	18986
48	976	18948
49	993	18883
50	1012	18849
51	1030	18778
52	1049	18745
53	1066	18680
54	1083	18620
55	1101	18562
56	1119	18518
57	1136	18452
58	1153	18397
59	1172	18374
60	1190	18331
61	1208	18278
62	1226	18244
63	1244	18205
64	1264	18193
65	1284	18181
66	1304	18164
67	1324	18147
68	1343	18124
69	1363	18115
70	1383	18108
71	1401	18069
72	1418	18019
73	1437	17991
74	1456	17959
75	1474	17923
76	1492	17887
77	1509	17848
78	1527	17807
79	1545	17775
80	1562	17731
81	1579	17683
82	1598	17657
83	1615	17617
84	1633	17579
85	1650	17543
86	1667	17499
87	1684	17461
88	1702	17426
89	1720	17397
90	1738	17364
91	1756	17337
92	1775	17318
93	1794	17295
94	1812	17268
95	1830	17236
96	1847	17203
97	1865	17173
98	1884	17154
99	1903	17131
100	1922	17112
101	1941	17091
102	1960	17070
103	1979	17054
104	1998	17037
105	2018	17020
106	2037	17003
107	2058	17004
108	2080	17008
109	2100	16993
110	2120	16980
111	2138	16954
112	2156	16931
113	2175	16906
114	2193	16879
115	2211	16850
116	2228	16815
117	2245	16781
118	2262	16750
119	2280	16720
120	2296	16685
121	2313	16652
122	2331	16622
123	2348	16593
124	2366	16563
125	2383	16535
126	2401	16510
127	2420	16486
128	2438	16464
129	2458	16449
130	2476	16425
131	2494	16400
132	2511	16373
133	2531	16359
134	2550	16342
135	2570	16331
136	2592	16328
137	2613	16322
138	2632	16304
139	2652	16295
140	2671	16274
141	2692	16270
142	2710	16244
143	2728	16218
144	2745	16191
145	2764	16168
146	2781	16142
147	2799	16115
148	2817	16089
149	2834	16062
150	2851	16032
151	2869	16009
152	2888	15991
153	2906	15967
154	2924	15945
155	2942	15919
156	2959	15892
157	2977	15866
158	2995	15846
159	3013	15823
160	3032	15803
161	3053	15792
162	3073	15781
163	3092	15763
164	3111	15743
165	3129	15722
166	3147	15702
167	3167	15686
168	3187	15675
169	3206	15655
170	3224	15634
171	3243	15613
172	3261	15591
173	3279	15568
174	3299	15552
175	3317	15534
176	3338	15523
177	3357	15503
178	3376	15487
179	3395	15468
180	3414	15448
181	3435	15440
182	3456	15430
183	3476	15415
184	3494	15394
185	3513	15374
186	3534	15367
187	3553	15349
188	3572	15330
189	3592	15313
190	3610	15292
191	3629	15274
192	3648	15253
193	3667	15236
194	3685	15213
195	3703	15190
196	3720	15166
197	3737	15140
198	3755	15115
199	3772	15091
200	3790	15069
201	3807	15043
202	3825	15018
203	3842	14993
204	3859	14968
205	3878	14947
206	3895	14923
207	3914	14903
208	3932	14881
209	3949	14857
210	3967	14835
211	3985	14814
212	4004	14795
213	4023	14777
214	4041	14757
215	4062	14743
216	4081	14727
217	4100	14709
218	4119	14690
219	4139	14675
220	4157	14654
221	4175	14634
222	4194	14613
223	4213	14596
224	4230	14572
225	4247	14547
226	4264	14523
227	4281	14496
228	4298	14470
229	4314	14445
230	4332	14422
231	4348	14395
232	4365	14368
233	4383	14348
234	4400	14325
235	4418	14305
236	4437	14286
237	4457	14270
238	4476	14252
239	4496	14239
240	4517	14228
241	4536	14210
242	4555	14192
243	4573	14170
244	4591	14150
245	4609	14128
246	4628	14110
247	4645	14086
248	4662	14062
249	4679	14039
250	4697	14017
251	4715	13996
252	4733	13974
253	4750	13951
254	4767	13929
255	4784	13905
256	4803	13886
257	4821	13866
258	4839	13844
259	4856	13823
260	4874	13801
261	4892	13780
262	4909	13758
263	4927	13737
264	4944	13713
265	4961	13691
266	4978	13667
267	4996	13645
268	5014	13625
269	5032	13607
270	5049	13584
271	5066	13561
272	5083	13538
273	5101	13516
274	5119	13496
275	5137	13475
276	5154	13453
277	5173	13434
278	5190	13412
279	5207	13390
280	5224	13368
281	5242	13347
282	5259	13324
283	5276	13302
284	5293	13278
285	5310	13256
286	5327	13234
287	5345	13214
288	5363	13195
289	5380	13173
290	5397	13151
291	5415	13129
292	5432	13108
293	5451	13090
294	5468	13069
295	5487	13051
296	5505	13031
297	5523	13011
298	5540	12988
299	5558	12969
300	5575	12947
301	5592	12926
302	5610	12907
303	5628	12885
304	5646	12865
305	5663	12844
306	5681	12824
307	5698	12803
308	5716	12783
309	5734	12763
310	5752	12743
311	5771	12726
312	5788	12705
313	5805	12683
314	5823	12662
315	5841	12643
316	5858	12623
317	5876	12603
318	5894	12583
319	5912	12563
320	5930	12544
321	5948	12524
322	5966	12506
323	5985	12488
324	6003	12469
325	6021	12449
326	6040	12431
327	6058	12413
328	6077	12394
329	6094	12373
330	6112	12353
331	6129	12332
332	6147	12313
333	6167	12298
334	6187	12282
335	6204	12262
336	6223	12243
337	6241	12224
338	6259	12205
339	6278	12186
340	6295	12166
341	6313	12146
342	6331	12128
343	6349	12107
344	6366	12087
345	6384	12068
346	6402	12047
347	6419	12027
348	6437	12008
349	6455	11989
350	6473	11969
351	6491	11949
352	6509	11930
353	6527	11911
354	6544	11890
355	6562	11871
356	6580	11852
357	6599	11834
358	6616	11814
359	6633	11792
360	6651	11772
361	6668	11752
362	6685	11732
363	6703	11713
364	6721	11693
365	6738	11672
366	6755	11652
367	6773	11632
368	6791	11613
369	6810	11595
370	6828	11576
371	6845	11556
372	6863	11536
373	6879	11515
374	6898	11496
375	6914	11475
376	6933	11458
377	6951	11438
378	6970	11422
379	6989	11403
380	7006	11384
381	7025	11365
382	7044	11348
383	7062	11329
384	7080	11309
385	7097	11289
386	7114	11269
387	7133	11251
388	7152	11235
389	7171	11217
390	7189	11197
391	7207	11178
392	7228	11165
393	7248	11149
394	7267	11131
395	7287	11114
396	7308	11100
397	7328	11084
398	7348	11068
399	7367	11050
400	7384	11030
401	7401	11010
402	7420	10993
403	7438	10973
404	7455	10953
405	7473	10934
406	7491	10914
407	7508	10895
408	7526	10875
409	7542	10854
410	7560	10834
411	7578	10815
412	7596	10796
413	7615	10778
414	7634	10761
415	7655	10747
416	7677	10734
417	7697	10716
418	7716	10700
419	7737	10685
420	7757	10669
421	7776	10651
422	7794	10631
423	7812	10612
424	7831	10595
425	7849	10576
426	7867	10558
427	7885	10538
428	7903	10519
429	7922	10501
430	7938	10480
431	7956	10461
432	7974	10441
433	7993	10425
434	8014	10410
435	8035	10394
436	8056	10378
437	8076	10362
438	8095	10345
439	8114	10327
440	8132	10308
441	8150	10290
442	8169	10271
443	8188	10254
444	8205	10234
445	8223	10214
446	8240	10194
447	8259	10176
448	8277	10157
449	8294	10138
450	8312	10119
451	8330	10100
452	8348	10081
453	8366	10061
454	8383	10041
455	8403	10025
456	8420	10005
457	8438	9986
458	8457	9968
459	8474	9948
460	8493	9930
461	8511	9912
462	8531	9895
463	8552	9879
464	8572	9862
465	8592	9846
466	8611	9828
467	8630	9811
468	8649	9793
469	8669	9775
470	8688	9757
471	8705	9738
472	8724	9720
473	8742	9702
474	8760	9682
475	8778	9663
476	8795	9643
477	8813	9625
478	8832	9606
479	8850	9587
480	8866	9566
481	8884	9548
482	8902	9529
483	8920	9509
484	8937	9490
485	8955	9471
486	8973	9452
487	8991	9433
488	9010	9415
489	9030	9398
490	9051	9383
491	9072	9367
492	9091	9349
493	9110	9332
494	9129	9313
495	9147	9294
496	9165	9276
497	9183	9257
498	9201	9237
499	9218	9218
500	9235	9199
501	9255	9181
502	9273	9162
503	9292	9144
504	9309	9125
505	9329	9108
506	9347	9089
507	9364	9069
508	9382	9050
509	9399	9030
510	9417	9011
511	9436	8993
512	9454	8975
513	9472	8956
514	9489	8936
515	9509	8919
516	9527	8900
517	9545	8882
518	9563	8863
519	9581	8844
520	9599	8825
521	9618	8807
522	9637	8789
523	9657	8772
524	9676	8755
525	9698	8739
526	9717	8722
527	9737	8704
528	9760	8690
529	9779	8672
530	9800	8655
531	9820	8639
532	9840	8622
533	9861	8605
534	9880	8588
535	9900	8570
536	9920	8553
537	9938	8534
538	9959	8517
539	9977	8499
540	9994	8479
541	10012	8461
542	10030	8442
543	10049	8423
544	10066	8404
545	10084	8385
546	10102	8366
547	10120	8347
548	10139	8329
549	10158	8311
550	10176	8292
551	10195	8274
552	10214	8256
553	10233	8238
554	10252	8220
555	10273	8204
556	10294	8187
557	10314	8170
558	10333	8152
559	10353	8135
560	10375	8119
561	10394	8101
562	10414	8083
563	10433	8065
564	10452	8047
565	10470	8028
566	10489	8010
567	10507	7991
568	10525	7972
569	10542	7953
570	10560	7934
571	10578	7915
572	10596	7896
573	10614	7877
574	10633	7859
575	10653	7841
576	10673	7824
577	10692	7806
578	10714	7790
579	10736	7774
580	10759	7759
581	10780	7743
582	10801	7726
583	10821	7708
584	10841	7691
585	10861	7673
586	10879	7654
587	10898	7636
588	10916	7617
589	10936	7599
590	10954	7581
591	10973	7562
592	10991	7543
593	11011	7526
594	11028	7507
595	11048	7488
596	11070	7472
597	11090	7455
598	11112	7439
599	11133	7422
600	11155	7405
601	11176	7389
602	11197	7372
603	11218	7355
604	11237	7336
605	11256	7318
606	11275	7299
607	11293	7281
608	11312	7263
609	11332	7245
610	11351	7226
611	11369	7208
612	11388	7189
613	11407	7171
614	11427	7153
615	11448	7136
616	11468	7119
617	11489	7102
618	11508	7083
619	11526	7064
620	11546	7047
621	11565	7028
622	11584	7010
623	11603	6992
624	11624	6974
625	11644	6956
626	11662	6937
627	11682	6920
628	11700	6901
629	11718	6882
630	11738	6864
631	11758	6846
632	11777	6828
633	11797	6810
634	11816	6792
635	11834	6773
636	11854	6755
637	11873	6736
638	11891	6718
639	11910	6699
640	11928	6680
641	11947	6662
642	11966	6643
643	11984	6625
644	12003	6606
645	12022	6588
646	12040	6569
647	12059	6550
648	12078	6532
649	12098	6514
650	12117	6496
651	12136	6477
652	12155	6459
653	12175	6441
654	12195	6423
655	12212	6404
656	12231	6385
657	12249	6366
658	12268	6348
659	12286	6329
660	12304	6310
661	12322	6291
662	12341	6273
663	12362	6255
664	12381	6237
665	12399	6218
666	12418	6199
667	12436	6180
668	12455	6162
669	12473	6143
670	12492	6125
671	12510	6106
672	12528	6087
673	12546	6068
674	12564	6049
675	12583	6031
676	12602	6012
677	12620	5994
678	12640	5975
679	12658	5957
680	12677	5938
681	12697	5920
682	12717	5902
683	12743	5887
684	12764	5869
685	12787	5853
686	12813	5837
687	12836	5821
688	12859	5804
689	12881	5787
690	12906	5771
691	12933	5756
692	12959	5740
693	12984	5725
694	13008	5708
695	13035	5693
696	13060	5677
697	13085	5661
698	13110	5645
699	13134	5629
700	13160	5613
701	13185	5597
702	13212	5581
703	13241	5567
704	13266	5551
705	13291	5534
706	13314	5517
707	13339	5501
708	13368	5486
709	13396	5472
710	13418	5454
711	13439	5436
712	13459	5417
713	13479	5399
714	13500	5381
715	13521	5363
716	13541	5344
717	13561	5326
718	13580	5307
719	13599	5288
720	13621	5270
721	13640	5252
722	13661	5234
723	13680	5215
724	13699	5196
725	13721	5178
726	13745	5161
727	13767	5143
728	13787	5125
729	13810	5108
730	13831	5089
731	13852	5071
732	13872	5052
733	13891	5034
734	13912	5016
735	13932	4997
736	13953	4979
737	13974	4961
738	13995	4942
739	14016	4924
740	14037	4906
741	14059	4888
742	14080	4870
743	14103	4852
744	14124	4834
745	14144	4815
746	14165	4797
747	14186	4779
748	14208	4761
749	14230	4743
750	14251	4725
751	14272	4706
752	14292	4688
753	14312	4669
754	14334	4651
755	14354	4632
756	14374	4614
757	14395	4595
758	14415	4577
759	14435	4558
760	14455	4540
761	14476	4521
762	14498	4503
763	14518	4484
764	14538	4465
765	14558	4447
766	14579	4429
767	14599	4410
768	14618	4391
769	14638	4372
770	14657	4353
771	14677	4334
772	14697	4315
773	14716	4296
774	14737	4278
775	14758	4260
776	14779	4241
777	14799	4223
778	14820	4204
779	14842	4186
780	14862	4167
781	14884	4149
782	14904	4130
783	14924	4111
784	14943	4092
785	14962	4073
786	14981	4054
787	15001	4036
788	15021	4017
789	15040	3998
790	15060	3979
791	15080	3960
792	15099	3941
793	15120	3922
794	15141	3904
795	15161	3885
796	15183	3867
797	15246	3859
798	15268	3841
799	15289	3822
800	15309	3803
801	15329	3784
802	15348	3765
803	15368	3746
804	15386	3727
805	15406	3708
806	15427	3689
807	15448	3670
808	15468	3651
809	15488	3633
810	15508	3614
811	15529	3595
812	15550	3576
813	15570	3557
814	15590	3538
815	15609	3519
816	15629	3500
817	15650	3482
818	15670	3463
819	15691	3444
820	15710	3425
821	15730	3406
822	15750	3387
823	15771	3368
824	15792	3350
825	15813	3331
826	15834	3312
827	15856	3293
828	15877	3275
829	15897	3256
830	15918	3237
831	15938	3218
832	15959	3199
833	15980	3180
834	16000	3161
835	16020	3142
836	16041	3123
837	16063	3105
838	16084	3086
839	16105	3067
840	16126	3048
841	16147	3030
842	16167	3011
843	16188	2992
844	16208	2973
845	16228	2954
846	16248	2935
847	16269	2916
848	16290	2897
849	16310	2878
850	16330	2859
851	16350	2840
852	16370	2821
853	16390	2802
854	16409	2782
855	16428	2763
856	16448	2744
857	16469	2725
858	16488	2706
859	16512	2688
860	16532	2669
861	16554	2650
862	16574	2631
863	16595	2612
864	16616	2593
865	16636	2574
866	16656	2555
867	16675	2535
868	16696	2516
869	16715	2497
870	16735	2478
871	16754	2459
872	16774	2440
873	16793	2421
874	16813	2401
875	16833	2382
876	16852	2363
877	16873	2344
878	16893	2325
879	16914	2306
880	16935	2287
881	16956	2268
882	16977	2249
883	17001	2231
884	17023	2212
885	17048	2193
886	17068	2174
887	17088	2155
888	17108	2136
889	17128	2117
890	17149	2097
891	17169	2078
892	17190	2059
893	17210	2040
894	17231	2021
895	17250	2002
896	17271	1983
897	17290	1963
898	17314	1945
899	17332	1925
900	17353	1906
901	17373	1887
902	17393	1868
903	17415	1849
904	17435	1830
905	17456	1811
906	17475	1791
907	17495	1772
908	17515	1753
909	17537	1734
910	17557	1715
911	17577	1696
912	17597	1676
913	17617	1657
914	17638	1638
915	17658	1619
916	17680	1600
917	17698	1580
918	17718	1561
919	17737	1542
920	17756	1523
921	17776	1503
922	17796	1484
923	17818	1465
924	17839	1446
925	17860	1427
926	17879	1408
927	17899	1388
928	17918	1369
929	17938	1350
930	17959	1331
931	17979	1311
932	18000	1292
933	18024	1273
934	18045	1254
935	18065	1235
936	18086	1216
937	18106	1196
938	18127	1177
939	18148	1158
940	18168	1139
941	18187	1119
942	18208	1100
943	18227	1081
944	18247	1062
945	18267	1042
946	18287	1023
947	18308	1004
948	18328	984
949	18350	965
950	18370	946
951	18391	927
952	18411	907
953	18432	888
954	18453	869
955	18474	850
956	18494	831
957	18515	811
958	18534	792
959	18555	773
960	18574	753
961	18596	734
962	18617	715
963	18637	696
964	18658	676
965	18678	657
966	18699	638
967	18718	618
968	18739	599
969	18759	580
970	18781	560
971	18801	541
972	18821	522
973	18840	502
974	18861	483
975	18880	464
976	18901	444
977	18924	425
978	18946	406
979	18970	387
980	18991	367
981	19012	348
982	19031	329
983	19053	309
984	19074	290
985	19097	271
986	19119	251
987	19139	232
988	19159	213
989	19178	193
990	19198	174
991	19218	154
992	19238	135
993	19260	116
994	19279	96
995	19301	77
996	19322	58
997	19343	38
998	19363	19
999	19384	0
